,sample_id,analyte,units,sampling_location,concentration,is_detected,state,source_type
0,1,6:2FTS,ng/L,Landfill 3  MW 2,0.0,False,North Dakota,groundwater
1,1,6:2FTS,ng/L,Landfill 4  MW 1,0.0,False,North Dakota,groundwater
2,1,6:2FTS,ng/L,Landfill 5  MW 1,3.5,True,North Dakota,groundwater
3,1,6:2FTS,ng/L,Landfill 5  MW 2,0.0,False,North Dakota,groundwater
4,1,6:2FTS,ng/L,Landfill 7  MW 1,9.6,True,North Dakota,groundwater
5,1,6:2FTS,ng/L,Landfill 10  MW 2,0.0,False,North Dakota,groundwater
6,1,6:2FTS,ng/L,Landfill 12A  MW 1,1.0,True,North Dakota,groundwater
7,1,6:2FTS,ng/L,Landfill 14  MW 1,0.0,False,North Dakota,groundwater
8,1,6:2FTS,ng/L,Landfill 16  MW 2,0.0,False,North Dakota,groundwater
9,1,6:2FTS,ng/L,FTA 4,0.0,False,North Dakota,groundwater
10,1,6:2FTS,ng/L,FTA 5,4.4,True,North Dakota,groundwater
11,1,6:2FTS,ng/L,GW 1,0.0,False,North Dakota,groundwater
12,2,PFOS,ng/L,Landfill 3  MW 2,0.0,False,North Dakota,groundwater
13,2,PFOS,ng/L,Landfill 4  MW 1,0.0,False,North Dakota,groundwater
14,2,PFOS,ng/L,Landfill 5  MW 1,0.47,True,North Dakota,groundwater
15,2,PFOS,ng/L,Landfill 5  MW 2,0.0,False,North Dakota,groundwater
16,2,PFOS,ng/L,Landfill 7  MW 1,0.0,False,North Dakota,groundwater
17,2,PFOS,ng/L,Landfill 10  MW 2,1.3,True,North Dakota,groundwater
18,2,PFOS,ng/L,Landfill 12A  MW 1,0.46,True,North Dakota,groundwater
19,2,PFOS,ng/L,Landfill 14  MW 1,1.1,True,North Dakota,groundwater
20,2,PFOS,ng/L,Landfill 16  MW 2,0.0,False,North Dakota,groundwater
21,2,PFOS,ng/L,FTA 4,9.6,True,North Dakota,groundwater
22,2,PFOS,ng/L,FTA 5,60.0,True,North Dakota,groundwater
23,2,PFOS,ng/L,GW 1,0.0,False,North Dakota,groundwater
24,3,PFOA,ng/L,Landfill 3  MW 2,0.0,False,North Dakota,groundwater
25,3,PFOA,ng/L,Landfill 4  MW 1,3.0,True,North Dakota,groundwater
26,3,PFOA,ng/L,Landfill 5  MW 1,0.94,True,North Dakota,groundwater
27,3,PFOA,ng/L,Landfill 5  MW 2,0.34,True,North Dakota,groundwater
28,3,PFOA,ng/L,Landfill 7  MW 1,1.5,True,North Dakota,groundwater
29,3,PFOA,ng/L,Landfill 10  MW 2,0.97,True,North Dakota,groundwater
30,3,PFOA,ng/L,Landfill 12A  MW 1,0.46,True,North Dakota,groundwater
31,3,PFOA,ng/L,Landfill 14  MW 1,1.2,True,North Dakota,groundwater
32,3,PFOA,ng/L,Landfill 16  MW 2,0.84,True,North Dakota,groundwater
33,3,PFOA,ng/L,FTA 4,90.0,True,North Dakota,groundwater
34,3,PFOA,ng/L,FTA 5,16.0,True,North Dakota,groundwater
35,3,PFOA,ng/L,GW 1,0.0,False,North Dakota,groundwater
36,4,PFBS,ng/L,Landfill 3  MW 2,6.4,True,North Dakota,groundwater
37,4,PFBS,ng/L,Landfill 4  MW 1,0.0,False,North Dakota,groundwater
38,4,PFBS,ng/L,Landfill 5  MW 1,0.0,False,North Dakota,groundwater
39,4,PFBS,ng/L,Landfill 5  MW 2,0.0,False,North Dakota,groundwater
40,4,PFBS,ng/L,Landfill 7  MW 1,0.0,False,North Dakota,groundwater
41,4,PFBS,ng/L,Landfill 10  MW 2,0.0,False,North Dakota,groundwater
42,4,PFBS,ng/L,Landfill 12A  MW 1,0.0,False,North Dakota,groundwater
43,4,PFBS,ng/L,Landfill 14  MW 1,2.1,True,North Dakota,groundwater
44,4,PFBS,ng/L,Landfill 16  MW 2,0.0,False,North Dakota,groundwater
45,4,PFBS,ng/L,FTA 4,73.0,True,North Dakota,groundwater
46,4,PFBS,ng/L,FTA 5,1.5,True,North Dakota,groundwater
47,4,PFBS,ng/L,GW 1,0.0,False,North Dakota,groundwater
48,5,PFBA,ng/L,Landfill 3  MW 2,0.0,False,North Dakota,groundwater
49,5,PFBA,ng/L,Landfill 4  MW 1,0.0,False,North Dakota,groundwater
50,5,PFBA,ng/L,Landfill 5  MW 1,0.0,False,North Dakota,groundwater
51,5,PFBA,ng/L,Landfill 5  MW 2,0.0,False,North Dakota,groundwater
52,5,PFBA,ng/L,Landfill 7  MW 1,0.0,False,North Dakota,groundwater
53,5,PFBA,ng/L,Landfill 10  MW 2,25.0,True,North Dakota,groundwater
54,5,PFBA,ng/L,Landfill 12A  MW 1,0.0,False,North Dakota,groundwater
55,5,PFBA,ng/L,Landfill 14  MW 1,5.4,True,North Dakota,groundwater
56,5,PFBA,ng/L,Landfill 16  MW 2,0.0,False,North Dakota,groundwater
57,5,PFBA,ng/L,FTA 4,69.0,True,North Dakota,groundwater
58,5,PFBA,ng/L,FTA 5,11.0,True,North Dakota,groundwater
59,5,PFBA,ng/L,GW 1,3.6,True,North Dakota,groundwater
60,6,PFHPA,ng/L,Landfill 3  MW 2,0.0,False,North Dakota,groundwater
61,6,PFHPA,ng/L,Landfill 4  MW 1,0.0,False,North Dakota,groundwater
62,6,PFHPA,ng/L,Landfill 5  MW 1,0.0,False,North Dakota,groundwater
63,6,PFHPA,ng/L,Landfill 5  MW 2,0.0,False,North Dakota,groundwater
64,6,PFHPA,ng/L,Landfill 7  MW 1,0.0,False,North Dakota,groundwater
65,6,PFHPA,ng/L,Landfill 10  MW 2,0.0,False,North Dakota,groundwater
66,6,PFHPA,ng/L,Landfill 12A  MW 1,0.0,False,North Dakota,groundwater
67,6,PFHPA,ng/L,Landfill 14  MW 1,0.0,False,North Dakota,groundwater
68,6,PFHPA,ng/L,Landfill 16  MW 2,0.0,False,North Dakota,groundwater
69,6,PFHPA,ng/L,FTA 4,110.0,True,North Dakota,groundwater
70,6,PFHPA,ng/L,FTA 5,1.3,True,North Dakota,groundwater
71,6,PFHPA,ng/L,GW 1,0.0,False,North Dakota,groundwater
72,7,PFHXS,ng/L,Landfill 3  MW 2,0.0,False,North Dakota,groundwater
73,7,PFHXS,ng/L,Landfill 4  MW 1,0.0,False,North Dakota,groundwater
74,7,PFHXS,ng/L,Landfill 5  MW 1,0.0,False,North Dakota,groundwater
75,7,PFHXS,ng/L,Landfill 5  MW 2,0.0,False,North Dakota,groundwater
76,7,PFHXS,ng/L,Landfill 7  MW 1,0.0,False,North Dakota,groundwater
77,7,PFHXS,ng/L,Landfill 10  MW 2,0.0,False,North Dakota,groundwater
78,7,PFHXS,ng/L,Landfill 12A  MW 1,0.0,False,North Dakota,groundwater
79,7,PFHXS,ng/L,Landfill 14  MW 1,5.2,True,North Dakota,groundwater
80,7,PFHXS,ng/L,Landfill 16  MW 2,0.0,False,North Dakota,groundwater
81,7,PFHXS,ng/L,FTA 4,410.0,True,North Dakota,groundwater
82,7,PFHXS,ng/L,FTA 5,15.0,True,North Dakota,groundwater
83,7,PFHXS,ng/L,GW 1,0.0,False,North Dakota,groundwater
84,8,PFHXA,ng/L,Landfill 3  MW 2,2.6,True,North Dakota,groundwater
85,8,PFHXA,ng/L,Landfill 4  MW 1,0.0,False,North Dakota,groundwater
86,8,PFHXA,ng/L,Landfill 5  MW 1,0.0,False,North Dakota,groundwater
87,8,PFHXA,ng/L,Landfill 5  MW 2,0.0,False,North Dakota,groundwater
88,8,PFHXA,ng/L,Landfill 7  MW 1,0.0,False,North Dakota,groundwater
89,8,PFHXA,ng/L,Landfill 10  MW 2,0.0,False,North Dakota,groundwater
90,8,PFHXA,ng/L,Landfill 12A  MW 1,0.0,False,North Dakota,groundwater
91,8,PFHXA,ng/L,Landfill 14  MW 1,0.0,False,North Dakota,groundwater
92,8,PFHXA,ng/L,Landfill 16  MW 2,0.0,False,North Dakota,groundwater
93,8,PFHXA,ng/L,FTA 4,130.0,True,North Dakota,groundwater
94,8,PFHXA,ng/L,FTA 5,0.0,False,North Dakota,groundwater
95,8,PFHXA,ng/L,GW 1,0.0,False,North Dakota,groundwater
96,9,PFNA,ng/L,Landfill 3  MW 2,0.0,False,North Dakota,groundwater
97,9,PFNA,ng/L,Landfill 4  MW 1,0.0,False,North Dakota,groundwater
98,9,PFNA,ng/L,Landfill 5  MW 1,0.0,False,North Dakota,groundwater
99,9,PFNA,ng/L,Landfill 5  MW 2,0.0,False,North Dakota,groundwater
100,9,PFNA,ng/L,Landfill 7  MW 1,0.0,False,North Dakota,groundwater
101,9,PFNA,ng/L,Landfill 10  MW 2,0.0,False,North Dakota,groundwater
102,9,PFNA,ng/L,Landfill 12A  MW 1,0.0,False,North Dakota,groundwater
103,9,PFNA,ng/L,Landfill 14  MW 1,0.0,False,North Dakota,groundwater
104,9,PFNA,ng/L,Landfill 16  MW 2,0.0,False,North Dakota,groundwater
105,9,PFNA,ng/L,FTA 4,3.1,True,North Dakota,groundwater
106,9,PFNA,ng/L,FTA 5,51.0,True,North Dakota,groundwater
107,9,PFNA,ng/L,GW 1,0.0,False,North Dakota,groundwater
108,10,PFPES,ng/L,Landfill 3  MW 2,0.0,False,North Dakota,groundwater
109,10,PFPES,ng/L,Landfill 4  MW 1,0.0,False,North Dakota,groundwater
110,10,PFPES,ng/L,Landfill 5  MW 1,0.0,False,North Dakota,groundwater
111,10,PFPES,ng/L,Landfill 5  MW 2,0.0,False,North Dakota,groundwater
112,10,PFPES,ng/L,Landfill 7  MW 1,0.0,False,North Dakota,groundwater
113,10,PFPES,ng/L,Landfill 10  MW 2,0.0,False,North Dakota,groundwater
114,10,PFPES,ng/L,Landfill 12A  MW 1,0.0,False,North Dakota,groundwater
115,10,PFPES,ng/L,Landfill 14  MW 1,1.0,True,North Dakota,groundwater
116,10,PFPES,ng/L,Landfill 16  MW 2,0.0,False,North Dakota,groundwater
117,10,PFPES,ng/L,FTA 4,77.0,True,North Dakota,groundwater
118,10,PFPES,ng/L,FTA 5,1.4,True,North Dakota,groundwater
119,10,PFPES,ng/L,GW 1,0.0,False,North Dakota,groundwater
120,11,PFPEA,ng/L,Landfill 3  MW 2,0.0,False,North Dakota,groundwater
121,11,PFPEA,ng/L,Landfill 4  MW 1,0.0,False,North Dakota,groundwater
122,11,PFPEA,ng/L,Landfill 5  MW 1,0.0,False,North Dakota,groundwater
123,11,PFPEA,ng/L,Landfill 5  MW 2,0.0,False,North Dakota,groundwater
124,11,PFPEA,ng/L,Landfill 7  MW 1,0.0,False,North Dakota,groundwater
125,11,PFPEA,ng/L,Landfill 10  MW 2,0.0,False,North Dakota,groundwater
126,11,PFPEA,ng/L,Landfill 12A  MW 1,0.0,False,North Dakota,groundwater
127,11,PFPEA,ng/L,Landfill 14  MW 1,0.0,False,North Dakota,groundwater
128,11,PFPEA,ng/L,Landfill 16  MW 2,0.0,False,North Dakota,groundwater
129,11,PFPEA,ng/L,FTA 4,160.0,True,North Dakota,groundwater
130,11,PFPEA,ng/L,FTA 5,0.0,False,North Dakota,groundwater
131,11,PFPEA,ng/L,GW 1,0.0,False,North Dakota,groundwater
0,12,PFOS,ng/L,Aquifer 1A,5.9,True,North Dakota,groundwater
1,13,PFOA,ng/L,Aquifer 1A,0.0,False,North Dakota,groundwater
2,14,PFBA,ng/L,Aquifer 1A,0.0,False,North Dakota,groundwater
3,15,PFPEA,ng/L,Aquifer 1A,0.0,False,North Dakota,groundwater
4,16,PFBS,ng/L,Aquifer 1A,0.0,False,North Dakota,groundwater
5,17,PFHXA,ng/L,Aquifer 1A,0.0,False,North Dakota,groundwater
6,18,PFHPA,ng/L,Aquifer 1A,0.0,False,North Dakota,groundwater
7,19,PFHXS,ng/L,Aquifer 1A,0.0,False,North Dakota,groundwater
8,20,PFHXA,ng/L,Aquifer 1A,0.0,False,North Dakota,groundwater
9,21,6:2 FTS,ng/L,Aquifer 1A,0.0,False,North Dakota,groundwater
10,12,PFOS,ng/L,Aquifer 1B,5.7,True,North Dakota,groundwater
11,13,PFOA,ng/L,Aquifer 1B,0.0,False,North Dakota,groundwater
12,14,PFBA,ng/L,Aquifer 1B,0.0,False,North Dakota,groundwater
13,15,PFPEA,ng/L,Aquifer 1B,0.0,False,North Dakota,groundwater
14,16,PFBS,ng/L,Aquifer 1B,0.0,False,North Dakota,groundwater
15,17,PFHXA,ng/L,Aquifer 1B,0.0,False,North Dakota,groundwater
16,18,PFHPA,ng/L,Aquifer 1B,0.0,False,North Dakota,groundwater
17,19,PFHXS,ng/L,Aquifer 1B,0.0,False,North Dakota,groundwater
18,20,PFHXA,ng/L,Aquifer 1B,0.0,False,North Dakota,groundwater
19,21,6:2 FTS,ng/L,Aquifer 1B,0.0,False,North Dakota,groundwater
20,12,PFOS,ng/L,Aquifer 2A,0.0,False,North Dakota,groundwater
21,13,PFOA,ng/L,Aquifer 2A,0.0,False,North Dakota,groundwater
22,14,PFBA,ng/L,Aquifer 2A,3.7,True,North Dakota,groundwater
23,15,PFPEA,ng/L,Aquifer 2A,0.0,False,North Dakota,groundwater
24,16,PFBS,ng/L,Aquifer 2A,0.0,False,North Dakota,groundwater
25,17,PFHXA,ng/L,Aquifer 2A,0.0,False,North Dakota,groundwater
26,18,PFHPA,ng/L,Aquifer 2A,0.0,False,North Dakota,groundwater
27,19,PFHXS,ng/L,Aquifer 2A,0.0,False,North Dakota,groundwater
28,20,PFHXA,ng/L,Aquifer 2A,0.0,False,North Dakota,groundwater
29,21,6:2 FTS,ng/L,Aquifer 2A,0.0,False,North Dakota,groundwater
30,12,PFOS,ng/L,Aquifer 2C,0.0,False,North Dakota,groundwater
31,13,PFOA,ng/L,Aquifer 2C,0.0,False,North Dakota,groundwater
32,14,PFBA,ng/L,Aquifer 2C,2.3,True,North Dakota,groundwater
33,15,PFPEA,ng/L,Aquifer 2C,0.0,False,North Dakota,groundwater
34,16,PFBS,ng/L,Aquifer 2C,0.0,False,North Dakota,groundwater
35,17,PFHXA,ng/L,Aquifer 2C,0.0,False,North Dakota,groundwater
36,18,PFHPA,ng/L,Aquifer 2C,0.0,False,North Dakota,groundwater
37,19,PFHXS,ng/L,Aquifer 2C,0.0,False,North Dakota,groundwater
38,20,PFHXA,ng/L,Aquifer 2C,0.0,False,North Dakota,groundwater
39,21,6:2 FTS,ng/L,Aquifer 2C,0.0,False,North Dakota,groundwater
40,12,PFOS,ng/L,Aquifer 2D,0.0,False,North Dakota,groundwater
41,13,PFOA,ng/L,Aquifer 2D,0.0,False,North Dakota,groundwater
42,14,PFBA,ng/L,Aquifer 2D,10.0,True,North Dakota,groundwater
43,15,PFPEA,ng/L,Aquifer 2D,0.0,False,North Dakota,groundwater
44,16,PFBS,ng/L,Aquifer 2D,0.0,False,North Dakota,groundwater
45,17,PFHXA,ng/L,Aquifer 2D,0.0,False,North Dakota,groundwater
46,18,PFHPA,ng/L,Aquifer 2D,0.0,False,North Dakota,groundwater
47,19,PFHXS,ng/L,Aquifer 2D,0.0,False,North Dakota,groundwater
48,20,PFHXA,ng/L,Aquifer 2D,0.0,False,North Dakota,groundwater
49,21,6:2 FTS,ng/L,Aquifer 2D,0.0,False,North Dakota,groundwater
50,12,PFOS,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
51,13,PFOA,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
52,14,PFBA,ng/L,Aquifer 2E,16.0,True,North Dakota,groundwater
53,15,PFPEA,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
54,16,PFBS,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
55,17,PFHXA,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
56,18,PFHPA,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
57,19,PFHXS,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
58,20,PFHXA,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
59,21,6:2 FTS,ng/L,Aquifer 2E,0.0,False,North Dakota,groundwater
60,12,PFOS,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
61,13,PFOA,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
62,14,PFBA,ng/L,Aquifer 3A,10.0,True,North Dakota,groundwater
63,15,PFPEA,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
64,16,PFBS,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
65,17,PFHXA,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
66,18,PFHPA,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
67,19,PFHXS,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
68,20,PFHXA,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
69,21,6:2 FTS,ng/L,Aquifer 3A,0.0,False,North Dakota,groundwater
70,12,PFOS,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
71,13,PFOA,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
72,14,PFBA,ng/L,Aquifer 3B,12.0,True,North Dakota,groundwater
73,15,PFPEA,ng/L,Aquifer 3B,2.9,True,North Dakota,groundwater
74,16,PFBS,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
75,17,PFHXA,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
76,18,PFHPA,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
77,19,PFHXS,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
78,20,PFHXA,ng/L,Aquifer 3B,2.1,True,North Dakota,groundwater
79,21,6:2 FTS,ng/L,Aquifer 3B,0.0,False,North Dakota,groundwater
80,12,PFOS,ng/L,Aquifer 4B,0.0,False,North Dakota,groundwater
81,13,PFOA,ng/L,Aquifer 4B,1.9,True,North Dakota,groundwater
82,14,PFBA,ng/L,Aquifer 4B,23.0,True,North Dakota,groundwater
83,15,PFPEA,ng/L,Aquifer 4B,44.0,True,North Dakota,groundwater
84,16,PFBS,ng/L,Aquifer 4B,3.1,True,North Dakota,groundwater
85,17,PFHXA,ng/L,Aquifer 4B,26.0,True,North Dakota,groundwater
86,18,PFHPA,ng/L,Aquifer 4B,2.2,True,North Dakota,groundwater
87,19,PFHXS,ng/L,Aquifer 4B,10.0,True,North Dakota,groundwater
88,20,PFHXA,ng/L,Aquifer 4B,0.0,False,North Dakota,groundwater
89,21,6:2 FTS,ng/L,Aquifer 4B,0.0,False,North Dakota,groundwater
90,12,PFOS,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
91,13,PFOA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
92,14,PFBA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
93,15,PFPEA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
94,16,PFBS,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
95,17,PFHXA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
96,18,PFHPA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
97,19,PFHXS,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
98,20,PFHXA,ng/L,Aquifer 4D,0.0,False,North Dakota,groundwater
99,21,6:2 FTS,ng/L,Aquifer 4D,11.0,True,North Dakota,groundwater
